longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-118.03,33.96,37,1745,365,1022,368,4.0536,171400,'<1H OCEAN'
-123.21,39.2,17,3145,693,1560,647,2.2926,149300,'<1H OCEAN'
-121.73,36.86,28,827,178,703,144,4.4271,175700,'<1H OCEAN'
-122.57,38.02,33,9531,1487,3798,1409,5.6512,314000,'NEAR BAY'
-121.86,37.27,17,4393,709,2292,692,5.6876,246500,'<1H OCEAN'
-116.21,33.71,19,3114,787,3157,772,1.7083,82200,INLAND
-118.4,34.2,30,2392,655,1987,609,2.8424,226400,'<1H OCEAN'
-118.46,34.4,12,25957,4798,10475,4490,4.542,195300,'<1H OCEAN'
-117.28,34.41,14,2105,396,960,396,2.9934,118200,INLAND
-124.01,40.97,21,1513,319,943,301,3.538,102700,'<1H OCEAN'
-118,33.96,37,2414,323,878,305,9.1541,453800,'<1H OCEAN'
-118.4,33.96,44,1877,314,877,320,6.8197,363600,'<1H OCEAN'
-118.98,35.35,21,496,131,511,124,1.7614,33200,INLAND
-117.13,32.58,27,2511,615,1427,576,3.1645,156000,'NEAR OCEAN'
-117.2,32.83,35,1377,350,792,313,2.8472,161400,'NEAR OCEAN'
-118.23,34.09,41,438,201,690,161,2.0476,181300,'<1H OCEAN'
-121.89,37.39,2,1136,365,535,257,4.375,425000,'<1H OCEAN'
-118.27,34.16,52,830,183,479,179,3.1397,253700,'<1H OCEAN'
-119.87,36.54,34,1370,287,818,269,2.4044,72500,INLAND
-118.37,34.05,52,2346,437,1121,400,4.0583,444300,'<1H OCEAN'
-121.75,36.91,52,1211,447,1102,392,1.6875,161400,'<1H OCEAN'
-122.35,37.95,45,2142,431,1318,431,3.0737,111600,'NEAR BAY'
-118.01,33.93,31,3395,742,1886,737,4.4118,174400,'<1H OCEAN'
-117.66,34.09,20,2462,496,1117,458,3.2321,162500,INLAND
-118.2,33.8,52,1786,445,1090,430,2.8988,194900,'NEAR OCEAN'
-118.08,33.95,32,1962,387,1274,398,4.8304,160600,'<1H OCEAN'
-123.1,38.97,36,1211,247,697,251,2.5761,94900,'<1H OCEAN'
-118.95,35.37,34,1672,359,1059,349,2.1588,61300,INLAND
-118.13,33.86,37,2259,425,1183,413,5.1805,201600,'<1H OCEAN'
-117.25,33.1,14,3676,720,1176,614,3.9464,171900,'NEAR OCEAN'
-121.96,38.32,12,5127,998,2749,976,4.0458,130600,INLAND
-121.26,38.7,9,7812,1348,3275,1178,4.3826,146600,INLAND
-117.28,33.85,16,3498,702,2372,672,2.3229,118000,INLAND
-118.07,34.11,47,832,194,419,156,3.1576,225000,'<1H OCEAN'
-118.36,33.99,45,2005,368,909,364,4.6406,268900,'<1H OCEAN'
-122.4,37.76,52,1185,246,480,253,4.4074,277300,'NEAR BAY'
-118.2,33.91,43,1381,278,1494,298,3.5878,118400,'<1H OCEAN'
-116.9,33.03,11,3213,634,1975,579,3.475,167200,'<1H OCEAN'
-121.83,37.28,19,2644,833,2317,780,3.1042,183100,'<1H OCEAN'
-121.44,37.76,5,7264,1285,3670,1146,5.0443,194800,INLAND
-117.33,33.97,8,152,19,1275,20,1.625,162500,INLAND
-117.26,34.16,31,3538,658,1715,663,3.7125,98000,INLAND
-121.94,37.3,25,1455,370,734,331,3.2727,262500,'<1H OCEAN'
-121.91,37.34,35,2189,607,1193,562,2.8042,240900,'<1H OCEAN'
-120.75,37.69,24,2282,423,1167,398,3.8214,116100,INLAND
-121.75,36.91,42,1368,468,2312,484,2.5599,151400,'<1H OCEAN'
-122.24,40.45,27,1804,321,782,300,3.5978,80600,INLAND
-117.23,33.16,4,3066,625,1164,582,4,228100,'NEAR OCEAN'
-118.16,33.84,36,2220,367,1002,351,5.0719,219500,'<1H OCEAN'
-121.88,37.35,49,1728,350,1146,391,3.5781,193000,'<1H OCEAN'
-117.09,33.13,9,5685,1442,3773,1250,3.0426,129900,'<1H OCEAN'
-116.25,33.81,24,880,187,507,169,3.4583,67500,INLAND
-122.73,39.04,23,1618,395,425,244,1.9833,111500,INLAND
-120.99,39.22,16,1497,275,737,243,2.8942,182500,INLAND
-118.46,34.04,25,2768,850,1558,784,3.6976,360000,'<1H OCEAN'
-118.38,33.86,15,1778,311,908,330,7.674,329300,'<1H OCEAN'
-122.19,37.73,44,1066,253,825,244,2.1538,79700,'NEAR BAY'
-117.98,33.93,27,3142,509,1520,503,6.2924,232500,'<1H OCEAN'
-116.26,33.72,10,9404,1827,3208,1283,3.1086,105800,INLAND
-118.3,33.84,37,1241,226,621,255,4.9196,232400,'<1H OCEAN'
-123.23,39.77,25,2075,435,991,377,1.2281,60300,INLAND
-116.97,32.83,23,149,32,101,34,2.6458,112500,'<1H OCEAN'
-118.27,33.86,29,2587,489,2115,475,3.7466,168600,'<1H OCEAN'
-117.31,32.82,42,2785,389,833,333,11.3074,500001,'NEAR OCEAN'
-118.07,34.17,34,4062,597,1525,566,7.8588,454800,INLAND
-119.05,34.21,27,4357,926,2110,876,3.0119,218200,'<1H OCEAN'
-118.12,33.84,37,2143,382,1047,377,4.4423,216000,'<1H OCEAN'
-118.12,33.81,36,1665,291,721,294,4.6875,250700,'<1H OCEAN'
-118.03,33.92,30,1414,332,1307,315,3,158300,'<1H OCEAN'
-122.01,37.83,30,3917,549,1330,544,6.5617,386600,'NEAR BAY'
-117.83,33.93,14,1956,282,671,269,6.5841,306400,'<1H OCEAN'
-122.7,38.33,26,1584,295,846,295,3.375,156300,'<1H OCEAN'
-118.3,33.98,48,1998,410,1176,382,3.0455,102400,'<1H OCEAN'
-117.27,34.14,35,1517,257,658,245,4.4435,97600,INLAND
-122.34,41.06,33,2149,498,631,273,1.8816,65800,INLAND
-118.13,33.9,36,1814,350,886,347,3.4868,208400,'<1H OCEAN'
-116.42,33.51,26,186,48,102,39,2.5625,103100,INLAND
-122.04,37.33,22,4011,963,2206,879,4.5721,351200,'<1H OCEAN'
-117.65,34.1,30,1461,341,1014,345,2.4667,106000,INLAND
-118.42,34.06,40,2933,565,1077,536,6.1527,500001,'<1H OCEAN'
-119.69,36.38,25,1688,302,879,277,3.3214,103100,INLAND
-120.25,37.04,21,1724,317,1006,290,3.2868,91700,INLAND
-119.37,36.19,24,1306,266,889,276,2.4922,66100,INLAND
-121.92,36.54,33,5323,887,1670,740,3.9792,468000,'NEAR OCEAN'
-118.28,34.18,52,2602,418,1137,419,5.3185,358000,'<1H OCEAN'
-120.76,38.6,14,2925,625,1226,437,2.5865,133800,INLAND
-121.74,36.92,14,3355,695,1350,697,2.6506,164600,'<1H OCEAN'
-117.96,33.99,25,1348,210,660,200,5.2852,297600,'<1H OCEAN'
-117.32,34.12,37,2868,574,2055,563,2.3508,70500,INLAND
-120.88,37.37,24,1294,222,684,221,2.6908,103100,INLAND
-116.9,33.98,30,3915,672,1820,643,3.6339,98600,INLAND
-118.37,33.96,26,138,23,100,20,4.875,175000,'<1H OCEAN'
-122.09,39.13,28,4169,895,2587,810,2.331,65500,INLAND
-121.91,37.26,25,4258,719,2290,743,5.1461,267200,'<1H OCEAN'
-122.05,37.33,17,3674,824,1364,694,6.3131,436400,'<1H OCEAN'
-121.32,38.67,21,3455,706,1605,704,3.1382,91600,INLAND
-121.02,37.62,14,5737,1286,4722,1210,1.6731,95800,INLAND
-117.35,33.17,16,4595,1341,2849,1197,2.478,185600,'NEAR OCEAN'
-117.66,34.07,37,2454,511,1165,504,2.9474,139600,INLAND
-117.59,33.65,2,4860,1193,2332,1073,4.5022,151900,'<1H OCEAN'
-122.53,38.01,16,1495,292,472,284,3.4432,67500,'NEAR BAY'
-117.91,33.66,26,5761,1326,2681,1116,4.0341,243300,'<1H OCEAN'
-122.63,38.23,45,2264,504,1076,472,3.0139,194100,'<1H OCEAN'
-121.95,37.96,18,2739,393,1072,374,6.1436,259500,INLAND
-117.86,33.72,32,1461,340,1909,346,3.5511,159100,'<1H OCEAN'
-118.25,34.07,47,2059,618,2033,544,1.9028,217900,'<1H OCEAN'
-118.31,34.02,46,2217,489,1227,448,1.6851,108800,'<1H OCEAN'
-120.91,38.11,9,3585,680,1800,598,3.636,133100,INLAND
-122.11,38.01,41,1345,272,718,283,3.3831,129400,'NEAR BAY'
-118.11,33.84,37,1588,272,692,245,4.8594,220300,'<1H OCEAN'
-118.9,35.41,6,4656,971,2320,935,3.0938,100800,INLAND
-119.8,36.8,43,1951,288,725,308,6.3359,169300,INLAND
-117.66,33.64,17,3173,501,1555,520,6.7079,250800,'<1H OCEAN'
-117.91,34.07,33,2938,561,1519,549,4.5594,204200,'<1H OCEAN'
-118.16,33.77,49,3382,787,1314,756,3.8125,382100,'NEAR OCEAN'
-118.01,33.89,36,1589,265,804,272,4.6354,202900,'<1H OCEAN'
-119.85,36.43,23,1824,354,1146,362,2.8913,60900,INLAND
-122.68,38.46,17,3201,527,1244,495,4.7143,202900,'<1H OCEAN'
-118.4,33.85,29,2085,533,919,489,5.6017,430000,'<1H OCEAN'
-118.99,37.65,20,2474,625,338,141,5.01,195500,INLAND
-117.89,33.73,32,728,134,837,135,4.0769,163900,'<1H OCEAN'
-117.3,34.15,38,740,163,332,138,2.4107,88000,INLAND
-118.31,33.73,52,1642,287,692,288,4.1812,321500,'NEAR OCEAN'
-122.43,40.66,15,2532,458,1183,450,2.5417,92200,INLAND
-122.13,37.71,44,1421,298,609,270,3.5781,180000,'NEAR BAY'
-119.56,36.7,40,1195,326,1135,315,2.1182,58900,INLAND
-117.06,33.78,17,2813,565,1345,488,2.5847,145300,INLAND
-117.92,34.63,34,81,26,53,14,1.4091,137500,INLAND
-124.09,40.88,50,921,187,420,187,2.2188,105800,'NEAR OCEAN'
-117.93,33.84,34,2160,298,852,305,6.0531,287100,'<1H OCEAN'
-122.43,37.81,39,3275,837,1137,725,3.7679,500001,'NEAR BAY'
-122.14,39.97,27,1079,222,625,197,3.1319,62700,INLAND
-119.05,34.4,50,1236,282,1079,257,2.6991,181300,'<1H OCEAN'
-119.47,35.4,32,2167,421,1301,394,1.9718,69800,INLAND
-116.93,33.73,13,3603,573,1644,515,4.0433,132300,INLAND
-122.3,37.91,40,2866,617,1305,589,3.6321,209100,'NEAR BAY'
-121.08,39.18,19,2323,397,963,379,3.7426,162700,INLAND
-116.87,32.72,13,3268,491,1431,503,5.7652,259900,'<1H OCEAN'
-115.49,32.67,24,1266,275,1083,298,1.4828,73100,INLAND
-118.42,34.25,37,1545,341,1909,352,3.6791,148100,'<1H OCEAN'
-118.27,34.01,47,921,264,881,221,1.4327,114100,'<1H OCEAN'
-121.91,36.6,35,2605,410,1110,406,5.5519,329500,'NEAR OCEAN'
-118.29,34.01,42,814,223,511,188,2.3942,123200,'<1H OCEAN'
-118.39,34.06,39,3299,831,1649,759,3.3295,500001,'<1H OCEAN'
-118.94,34.16,3,1170,148,493,142,8.0428,500001,'<1H OCEAN'
-118.01,33.89,34,1653,292,1003,310,4.6,203400,'<1H OCEAN'
