Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,0,0,0,12,364.75,0.025,0.025,0,0,Nov,2,6,3,2,Returning_Visitor,FALSE,FALSE
7,56.3,0,0,15,315.4,0,0.011111,0,0,Oct,2,2,1,2,New_Visitor,FALSE,FALSE
0,0,0,0,20,457.583333,0.022222,0.044444,0,0,May,2,2,9,4,Returning_Visitor,TRUE,FALSE
0,0,0,0,11,689.991667,0,0.026667,0,0,Nov,3,2,3,6,Returning_Visitor,FALSE,FALSE
2,196.6,0,0,31,1514.3,0.036364,0.066667,0,0,Aug,1,8,7,1,Returning_Visitor,TRUE,FALSE
8,160.5,2,5,56,1167.321429,0.004762,0.018915,0,0,Dec,2,2,3,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,17,887.833333,0.00625,0.040625,0,0,May,2,4,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,15,1652,0.04,0.073333,0,0,May,2,5,1,3,Returning_Visitor,FALSE,FALSE
11,157.058333,5,514,79,2605.702273,0,0.006408,14.851313,0,May,2,2,7,3,Returning_Visitor,FALSE,TRUE
6,140,1,12,52,723.315873,0.001212,0.006277,4.504382,0,May,3,2,4,11,Returning_Visitor,FALSE,FALSE
7,81.25,0,0,37,1500.422543,0.014634,0.015339,39.035804,0,Mar,2,4,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,38,1035.935714,0.037895,0.052723,0,0.2,May,1,1,1,1,Returning_Visitor,FALSE,FALSE
3,273.66,0,0,24,751.626667,0.004571,0.024838,14.853373,0,Jul,3,2,2,1,Returning_Visitor,TRUE,FALSE
0,0,0,0,19,923.22,0,0,0,0,Aug,1,1,1,4,Returning_Visitor,FALSE,FALSE
8,160.5,2,5,56,1167.321429,0.004762,0.018915,0,0,Dec,2,2,3,1,Returning_Visitor,FALSE,FALSE
3,81,1,0,28,499.666667,0,0.022222,0,0,Mar,2,6,1,1,Returning_Visitor,FALSE,FALSE
13,345.016667,0,0,90,1816.555008,0,0.004861,86.310343,0,Aug,4,2,3,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,14,1340.75,0,0.015385,57.588923,0.6,May,4,1,3,4,New_Visitor,FALSE,TRUE
1,41.4,0,0,30,558.611111,0.009091,0.046465,0,0,Sep,2,10,2,1,Returning_Visitor,FALSE,TRUE
2,16,0,0,42,1743.517857,0,0.012805,0,0,Nov,2,2,1,2,Returning_Visitor,FALSE,FALSE
3,40.2,0,0,11,201.133333,0,0.02,0,0,June,2,2,2,1,New_Visitor,FALSE,FALSE
0,0,0,0,17,557.166667,0.023529,0.04951,0,0,Mar,3,2,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Mar,2,4,3,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,8,450,0,0.025,0,0,Mar,4,1,9,3,Returning_Visitor,TRUE,FALSE
3,39,0,0,2,4,0,0.04,0,0,Mar,2,5,1,1,Returning_Visitor,FALSE,FALSE
7,86.277778,2,21,80,2170.286706,0.003571,0.021528,25.765986,0,Nov,3,2,1,10,Returning_Visitor,TRUE,TRUE
